X,Y,Z,SDF_Value
0,0,0,1.5846
0,0,1,1.5039685
0,0,2,1.4369154
0,0,3,1.3846633
0,0,4,1.3482678
0,0,5,1.3285241
0,0,6,1.3258853
0,0,7,1.3404133
0,0,8,1.3717716
0,0,9,1.4192622
0,0,10,1.4818995
0,0,11,1.5585024
0,0,12,1.6477864
0,0,13,1.7484441
0,0,14,1.8592086
0,0,15,1.9788926
0,0,16,2.1064131
0,0,17,2.2408001
0,0,18,2.3811972
0,0,19,2.5268548
0,0,20,2.677121
0,0,21,2.831432
0,0,22,2.9892995
0,0,23,3.150303
0,0,24,3.3140783
0,0,25,3.480311
0,0,26,3.6487288
0,0,27,3.819096
0,0,28,3.9912052
0,0,29,4.1648784
0,0,30,4.3399577
0,0,31,4.516306
0,1,0,1.4828715
0,1,1,1.3985951
0,1,2,1.3283007
0,1,3,1.2733774
0,1,4,1.2350404
0,1,5,1.2142138
0,1,6,1.2114289
0,1,7,1.2267578
0,1,8,1.2598059
0,1,9,1.3097599
0,1,10,1.3754814
0,1,11,1.4556229
0,1,12,1.5487392
0,1,13,1.6533828
0,1,14,1.768172
0,1,15,1.8918328
0,1,16,2.02322
0,1,17,2.161322
0,1,18,2.3052578
0,1,19,2.4542646
0,1,20,2.6076872
0,1,21,2.7649634
0,1,22,2.925611
0,1,23,3.0892181
0,1,24,3.2554312
0,1,25,3.423946
0,1,26,3.5945
0,1,27,3.7668686
0,1,28,3.9408545
0,1,29,4.1162887
0,1,30,4.2930226
0,1,31,4.470927
0,2,0,1.3932626
0,2,1,1.3054852
0,2,2,1.2320497
0,2,3,1.1745167
0,2,4,1.1342704
0,2,5,1.1123748
0,2,6,1.1094451
0,2,7,1.1255653
0,2,8,1.1602778
0,2,9,1.2126436
0,2,10,1.281362
0,2,11,1.3649118
0,2,12,1.461685
0,2,13,1.5700958
0,2,14,1.688654
0,2,15,1.8160057
0,2,16,1.950952
0,2,17,2.092448
0,2,18,2.239594
0,2,19,2.3916206
0,2,20,2.5478728
0,2,21,2.7077944
0,2,22,2.8709111
0,2,23,3.0368216
0,2,24,3.205183
0,2,25,3.375702
0,2,26,3.5481272
0,2,27,3.7222443
0,2,28,3.8978658
0,2,29,4.0748315
0,2,30,4.2530017
0,2,31,4.4322534
0,3,0,1.3172767
0,3,1,1.2262893
0,3,2,1.1499476
0,3,3,1.0899813
0,3,4,1.0479434
0,3,5,1.0250397
0,3,6,1.0219734
0,3,7,1.0388403
0,3,8,1.0751171
0,3,9,1.1297369
0,3,10,1.2012348
0,3,11,1.2879183
0,3,12,1.3880231
0,3,13,1.499835
0,3,14,1.6217656
0,3,15,1.7523928
0,3,16,1.8904736
0,3,17,2.0349371
0,3,18,2.184873
0,3,19,2.3395092
0,3,20,2.4981942
0,3,21,2.6603794
0,3,22,2.825601
0,3,23,2.993468
0,3,24,3.1636486
0,3,25,3.3358593
0,3,26,3.509861
0,3,27,3.6854472
0,3,28,3.8624406
0,3,29,4.0406885
0,3,30,4.2200584
0,3,31,4.4004354
0,4,0,1.2563884
0,4,1,1.1626503
0,4,2,1.0837979
0,4,3,1.0217135
0,4,4,0.9781061
0,4,5,0.9543162
0,4,6,0.9511294
0,4,7,0.9686536
0,4,8,1.0063026
0,4,9,1.0628884
0,4,10,1.1367934
0,4,11,1.2261691
0,4,12,1.3291128
0,4,13,1.4437981
0,4,14,1.5685554
0,4,15,1.7019079
0,4,16,1.8425789
0,4,17,1.9894805
0,4,18,2.1416953
0,4,19,2.2984529
0,4,20,2.4591072
0,4,21,2.6231184
0,4,22,2.7900317
0,4,23,2.9594662
0,4,24,3.1311007
0,4,25,3.3046608
0,4,26,3.4799166
0,4,27,3.6566696
0,4,28,3.8347502
0,4,29,4.014013
0,4,30,4.194331
0,4,31,4.3755965
0,5,0,1.211936
0,5,1,1.1160796
0,5,2,1.0352802
0,5,3,0.9715429
0,5,4,0.9267046
0,5,5,0.902217
0,5,6,0.89893514
0,5,7,0.9169771
0,5,8,0.9557039
0,5,9,1.0138266
0,5,10,1.089602
0,5,11,1.1810555
0,5,12,1.2861743
0,5,13,1.4030464
0,5,14,1.5299408
0,5,15,1.6653414
0,5,16,1.8079486
0,5,17,1.9566631
0,5,18,2.110566
0,5,19,2.2688885
0,5,20,2.4309907
0,5,21,2.5963404
0,5,22,2.7644906
0,5,23,2.9350686
0,5,24,3.107761
0,5,25,3.282302
0,5,26,3.458467
0,5,27,3.6360655
0,5,28,3.8149323
0,5,29,3.9949284
0,5,30,4.175932
0,5,31,4.357837
0,6,0,1.1849968
0,6,1,1.0878084
0,6,2,1.0057783
0,6,3,0.94099134
0,6,4,0.8953684
0,6,5,0.8704347
0,6,6,0.8670922
0,6,7,0.8854652
0,6,8,0.9248797
0,6,9,0.9839795
0,6,10,1.0609391
0,6,11,1.1537013
0,6,12,1.2601831
0,6,13,1.3784189
0,6,14,1.5066397
0,6,15,1.643306
0,6,16,1.7871051
0,6,17,1.9369323
0,6,18,2.0918672
0,6,19,2.2511446
0,6,20,2.4141283
0,6,21,2.5802908
0,6,22,2.7491908
0,6,23,2.9204612
0,6,24,3.0937934
0,6,25,3.2689261
0,6,26,3.4456396
0,6,27,3.6237473
0,6,28,3.8030882
0,6,29,3.9835253
0,6,30,4.1649404
0,6,31,4.3472304
0,7,0,1.1762695
0,7,1,1.0786412
0,7,2,0.9962041
0,7,3,0.93106884
0,7,4,0.88518494
0,7,5,0.86010283
0,7,6,0.85674006
0,7,7,0.87522334
0,7,8,0.9148666
0,7,9,0.9742908
0,7,10,1.0516424
0,7,11,1.1448371
0,7,12,1.2517681
0,7,13,1.3704519
0,7,14,1.4991078
0,7,15,1.636188
0,7,16,1.7803762
0,7,17,1.9305661
0,7,18,2.0858371
0,7,19,2.2454247
0,7,20,2.4086947
0,7,21,2.5751207
0,7,22,2.7442636
0,7,23,2.9157581
0,7,24,3.089297
0,7,25,3.2646213
0,7,26,3.441512
0,7,27,3.6197844
0,7,28,3.7992778
0,7,29,3.9798574
0,7,30,4.161405
0,7,31,4.3438196
0,8,0,1.1859884
0,8,1,1.0888495
0,8,2,1.0068657
0,8,3,0.94211787
0,8,4,0.89652437
0,8,5,0.8716075
0,8,6,0.8682671
0,8,7,0.88662785
0,8,8,0.9260165
0,8,9,0.9850797
0,8,10,1.0619948
0,8,11,1.1547081
0,8,12,1.2611394
0,8,13,1.3793242
0,8,14,1.5074961
0,8,15,1.6441154
0,8,16,1.7878702
0,8,17,1.9376564
0,8,18,2.0925534
0,8,19,2.2517955
0,8,20,2.4147468
0,8,21,2.5808792
0,8,22,2.7497516
0,8,23,2.9209964
0,8,24,3.094305
0,8,25,3.2694159
0,8,26,3.4461098
0,8,27,3.6241984
0,8,28,3.8035216
0,8,29,3.983943
0,8,30,4.1653423
0,8,31,4.3476186
0,9,0,1.2138927
0,9,1,1.1181316
0,9,2,1.03742
0,9,3,0.97375757
0,9,4,0.92897505
0,9,5,0.90451914
0,9,6,0.9012416
0,9,7,0.9192601
0,9,8,0.9579379
0,9,9,1.015991
0,9,10,1.091682
0,9,11,1.183042
0,9,12,1.288063
0,9,13,1.4048371
0,9,14,1.5316362
0,9,15,1.6669455
0,9,16,1.8094668
0,9,17,1.958101
0,9,18,2.111929
0,9,19,2.2701824
0,9,20,2.432221
0,9,21,2.5975113
0,9,22,2.7656069
0,9,23,2.9361348
0,9,24,3.1087809
0,9,25,3.2832785
0,9,26,3.4594035
0,9,27,3.6369648
0,9,28,3.8157973
0,9,29,3.9957614
0,9,30,4.176735
0,9,31,4.358612
0,10,0,1.2592609
0,10,1,1.1656563
0,10,2,1.0869262
0,10,3,1.0249455
0,10,4,0.9814151
0,10,5,0.95766884
0,10,6,0.95448786
0,10,7,0.9719798
0,10,8,1.0095613
0,10,9,1.066051
0,10,10,1.1398387
0,10,11,1.2290835
0,10,12,1.3318896
0,10,13,1.4464362
0,10,14,1.5710576
0,10,15,1.7042794
0,10,16,1.8448267
0,10,17,1.991612
0,10,18,2.1437185
0,10,19,2.3003755
0,10,20,2.4609365
0,10,21,2.6248612
0,10,22,2.7916946
0,10,23,2.9610553
0,10,24,3.132621
0,10,25,3.306118
0,10,26,3.4813147
0,10,27,3.6580129
0,10,28,3.8360424
0,10,29,4.0152574
0,10,30,4.1955314
0,10,31,4.3767548
0,11,0,1.3209982
0,11,1,1.2301738
0,11,2,1.15398
0,11,3,1.0941384
0,11,4,1.0521922
0,11,5,1.0293403
0,11,6,1.0262809
0,11,7,1.0431097
0,11,8,1.0793061
0,11,9,1.1338105
0,11,10,1.2051668
0,11,11,1.2916911
0,11,12,1.3916276
0,11,13,1.503268
0,11,14,1.6250296
0,11,15,1.7554929
0,11,16,1.8934178
0,11,17,2.0377343
0,11,18,2.187532
0,11,19,2.342039
0,11,20,2.5006044
0,11,21,2.6626785
0,11,22,2.827797
0,11,23,2.9955678
0,11,24,3.1656594
0,11,25,3.3377876
0,11,26,3.511712
0,11,27,3.6872272
0,11,28,3.8641534
0,11,29,4.042339
0,11,30,4.22165
0,11,31,4.4019723
0,12,0,1.3977566
0,12,1,1.3101618
0,12,2,1.2368908
0,12,3,1.1794951
0,12,4,1.1393497
0,12,5,1.1175106
0,12,6,1.1145883
0,12,7,1.130667
0,12,8,1.1652913
0,12,9,1.2175303
0,12,10,1.2860916
0,12,11,1.3694632
0,12,12,1.4660461
0,12,13,1.5742619
0,12,14,1.6926258
0,12,15,1.819788
0,12,16,1.9545527
0,12,17,2.0958755
0,12,18,2.2428586
0,12,19,2.3947322
0,12,20,2.5508416
0,12,21,2.7106297
0,12,22,2.8736222
0,12,23,3.039417
0,12,24,3.2076707
0,12,25,3.378089
0,12,26,3.5504212
0,12,27,3.7244506
0,12,28,3.8999906
0,12,29,4.0768805
0,12,30,4.2549787
0,12,31,4.4341636
0,13,0,1.4880567
0,13,1,1.403974
0,13,2,1.3338528
0,13,3,1.2790728
0,13,4,1.2408402
0,13,5,1.220072
0,13,6,1.2172949
0,13,7,1.2325804
0,13,8,1.2655377
0,13,9,1.3153596
0,13,10,1.3809161
0,13,11,1.4608693
0,13,12,1.5537822
0,13,13,1.6582155
0,13,14,1.7727933
0,13,15,1.896246
0,13,16,2.0274317
0,13,17,2.1653407
0,13,18,2.3090932
0,13,19,2.4579275
0,13,20,2.6111875
0,13,21,2.7683115
0,13,22,2.928817
0,13,23,3.092291
0,13,24,3.25838
0,13,25,3.4267783
0,13,26,3.5972238
0,13,27,3.7694907
0,13,28,3.9433813
0,13,29,4.1187267
0,13,30,4.295377
0,13,31,4.473202
0,14,0,1.5903959
0,14,1,1.5099626
0,14,2,1.4430847
0,14,3,1.3909764
0,14,4,1.3546853
0,14,5,1.3349996
0,14,6,1.3323686
0,14,7,1.3468537
0,14,8,1.3781211
0,14,9,1.4254792
0,14,10,1.4879501
0,14,11,1.5643611
0,14,12,1.653436
0,14,13,1.7538755
0,14,14,1.8644183
0,14,15,1.983882
0,14,16,2.111188
0,14,17,2.2453675
0,14,18,2.3855665
0,14,19,2.531036
0,14,20,2.6811242
0,14,21,2.8352675
0,14,22,2.9929774
0,14,23,3.153833
0,14,24,3.3174696
0,14,25,3.483572
0,14,26,3.6518683
0,14,27,3.8221207
0,14,28,3.9941225
0,14,29,4.1676946
0,14,30,4.342679
0,14,31,4.518938
0,15,0,1.703327
0,15,1,1.626564
0,15,2,1.5629203
0,15,3,1.5134556
0,15,4,1.4790738
0,15,5,1.460448
0,15,6,1.4579601
0,15,7,1.4716618
0,15,8,1.5012703
0,15,9,1.5461955
0,15,10,1.605597
0,15,11,1.6784554
0,15,12,1.7636445
0,15,13,1.8600023
0,15,14,1.9663825
0,15,15,2.0816944
0,15,16,2.204927
0,15,17,2.33516
0,15,18,2.471571
0,15,19,2.6134298
0,15,20,2.7600942
0,15,21,2.9110024
0,15,22,3.065663
0,15,23,3.223649
0,15,24,3.3845892
0,15,25,3.5481577
0,15,26,3.7140727
0,15,27,3.8820872
0,15,28,4.0519853
0,15,29,4.2235785
0,15,30,4.3966994
0,15,31,4.5712023
