X,Y,Z,SDF_Value
0,0,0,2.6839046
0,0,1,2.3236825
0,0,2,2.4753065
0,0,3,2.443941
0,0,4,2.2910118
0,0,5,2.008569
0,0,6,2.135056
0,0,7,2.1457953
0,0,8,2.1010706
0,0,9,1.871201
0,0,10,2.1073394
0,0,11,2.1427815
0,0,12,2.1606047
0,0,13,1.9162865
0,0,14,2.2380075
0,0,15,2.2699475
0,0,16,2.4044685
0,0,17,2.350034
0,0,18,2.6907394
0,0,19,2.8369396
0,0,20,2.838681
0,0,21,2.8080587
0,0,22,3.1484225
0,0,23,3.3236017
0,0,24,3.256238
0,0,25,3.212471
0,0,26,3.6015625
0,0,27,3.788006
0,0,28,3.8498113
0,0,29,3.773664
0,0,30,4.200651
0,0,31,4.3168764
0,1,0,2.5118537
0,1,1,2.6226707
0,1,2,2.3922896
0,1,3,2.1665468
0,1,4,2.1284144
0,1,5,2.2688298
0,1,6,2.0783901
0,1,7,1.9003434
0,1,8,1.9291852
0,1,9,2.1341836
0,1,10,2.0307593
0,1,11,1.9736841
0,1,12,1.955776
0,1,13,2.1673465
0,1,14,2.1138482
0,1,15,2.1029458
0,1,16,2.3563423
0,1,17,2.6394994
0,1,18,2.566483
0,1,19,2.724651
0,1,20,2.826045
0,1,21,3.115414
0,1,22,3.0314448
0,1,23,3.2666185
0,1,24,3.2859032
0,1,25,3.5424387
0,1,26,3.55229
0,1,27,3.7005274
0,1,28,3.915015
0,1,29,4.131214
0,1,30,4.159969
0,1,31,4.293745
0,2,0,2.3604517
0,2,1,2.0206594
0,2,2,2.3267474
0,2,3,1.936208
0,2,4,1.997154
0,2,5,1.6913121
0,2,6,2.0250692
0,2,7,1.6827099
0,2,8,1.8011096
0,2,9,1.566234
0,2,10,1.9459337
0,2,11,1.6444911
0,2,12,1.8328264
0,2,13,1.5762202
0,2,14,2.0355158
0,2,15,1.703446
0,2,16,2.3084319
0,2,17,2.0325394
0,2,18,2.5498016
0,2,19,2.4293923
0,2,20,2.7499104
0,2,21,2.6081178
0,2,22,3.0453002
0,2,23,2.961802
0,2,24,3.221006
0,2,25,3.2213936
0,2,26,3.4508388
0,2,27,3.5589085
0,2,28,3.8499587
0,2,29,3.932343
0,2,30,4.0315046
0,2,31,4.1695366
0,3,0,2.293694
0,3,1,2.3550432
0,3,2,2.0746799
0,3,3,2.0022895
0,3,4,1.9398696
0,3,5,1.9619238
0,3,6,1.7822433
0,3,7,1.6836637
0,3,8,1.7244889
0,3,9,1.8339802
0,3,10,1.712887
0,3,11,1.6887381
0,3,12,1.7168968
0,3,13,1.8250902
0,3,14,1.7846657
0,3,15,1.7296119
0,3,16,2.1443508
0,3,17,2.2264428
0,3,18,2.3900595
0,3,19,2.498031
0,3,20,2.6648643
0,3,21,2.736977
0,3,22,2.904268
0,3,23,3.03109
0,3,24,3.2389116
0,3,25,3.341186
0,3,26,3.4791453
0,3,27,3.6443682
0,3,28,3.8822715
0,3,29,4.0212297
0,3,30,4.131221
0,3,31,4.2414804
0,4,0,2.2174873
0,4,1,1.9259351
0,4,2,1.9712679
0,4,3,1.9613087
